origin,QC1,QC2,QC3,QC4,QC5,QC6,QC7,QC8,QC9,QC10,QC11,QC12,QC13,QC14,QC15,QC16,QC17,QC18,QC19,QC20,LU1,LU2,LU3,LU4,LU5,LU6,LU7,LU8,LU9,LU10,LU11,LU12,LU13,LU14,LU15,LU16,LU17,LU18,LU19,LU20
QC1,0,50,100,150,200,250,300,350,400,450,500,550,600,650,700,750,800,850,900,950,150,200,250,300,350,400,450,500,550,600,650,700,750,800,850,900,950,1000,1050,1100
QC2,250,0,50,100,150,200,250,300,350,400,450,500,550,600,650,700,750,800,850,900,200,150,200,250,300,350,400,450,500,550,600,650,700,750,800,850,900,950,1000,1050
QC3,300,250,0,50,100,150,200,250,300,350,400,450,500,550,600,650,700,750,800,850,250,200,150,200,250,300,350,400,450,500,550,600,650,700,750,800,850,900,950,1000
QC4,350,300,250,0,50,100,150,200,250,300,350,400,450,500,550,600,650,700,750,800,300,250,200,150,200,250,300,350,400,450,500,550,600,650,700,750,800,850,900,950
QC5,400,350,300,250,0,50,100,150,200,250,300,350,400,450,500,550,600,650,700,750,350,300,250,200,150,200,250,300,350,400,450,500,550,600,650,700,750,800,850,900
QC6,450,400,350,350,250,0,50,100,150,200,250,300,350,400,450,500,550,600,650,700,400,350,300,250,200,150,200,250,300,350,400,450,500,550,600,650,700,750,800,850
QC7,500,450,400,400,300,250,0,50,100,150,200,250,300,350,400,450,500,550,600,650,450,400,350,300,250,200,150,200,250,300,350,400,450,500,550,600,650,700,750,800
QC8,550,500,450,450,350,300,250,0,50,100,150,200,250,300,350,400,450,500,550,600,500,450,400,350,300,250,200,150,200,250,300,350,400,450,500,550,600,650,700,750
QC9,600,550,500,500,400,350,300,250,0,50,100,150,200,250,300,350,400,450,500,550,550,500,450,400,350,300,250,200,150,200,250,300,350,400,450,500,550,600,650,700
QC10,650,600,550,550,450,400,350,300,250,0,50,100,150,200,250,300,350,400,450,500,600,550,500,450,400,350,300,250,200,150,200,250,300,350,400,450,500,550,600,650
QC11,700,650,600,600,500,450,400,350,300,250,0,50,100,150,200,250,300,350,400,450,650,600,550,500,450,400,350,300,250,200,150,200,250,300,350,400,450,500,550,600
QC12,750,700,650,650,550,500,450,400,350,300,250,0,50,100,150,200,250,300,350,400,700,650,600,550,500,450,400,350,300,250,200,150,200,250,300,350,400,450,500,550
QC13,800,750,700,700,600,550,500,450,400,350,300,250,0,50,100,150,200,250,300,350,750,700,650,600,550,500,450,400,350,300,250,200,150,200,250,300,350,400,450,500
QC14,850,800,750,750,650,600,550,500,450,400,350,300,250,0,50,100,150,200,250,300,800,750,700,650,600,550,500,450,400,350,300,250,200,150,200,250,300,350,400,450
QC15,900,850,800,800,700,650,600,550,500,450,400,350,300,250,0,50,100,150,200,250,850,800,750,700,650,600,550,500,450,400,350,300,250,200,150,200,250,300,350,400
QC16,950,900,850,850,750,700,650,600,550,500,450,400,350,300,250,0,50,100,150,200,900,850,800,750,700,650,600,550,500,450,400,350,300,250,200,150,200,250,300,350
QC17,1000,950,900,900,800,750,700,650,600,550,500,450,400,350,300,250,0,50,100,150,950,900,850,800,750,700,650,600,550,500,450,400,350,300,250,200,150,200,250,300
QC18,1050,1000,950,950,850,800,750,700,650,600,550,500,450,400,350,300,250,0,50,100,1000,950,900,850,800,750,700,650,600,550,500,450,400,350,300,250,200,150,200,250
QC19,1100,1050,1000,1000,900,850,800,750,700,650,600,550,500,450,400,350,300,250,0,50,1050,1000,950,900,850,800,750,700,650,600,550,500,450,400,350,300,250,200,150,200
QC20,1150,1100,1050,1050,950,900,850,800,750,700,650,600,550,500,450,400,350,300,250,0,1100,1050,1000,950,900,850,800,750,700,650,600,550,500,450,400,350,300,250,200,150
LU1,150,200,250,300,350,400,900,850,800,750,700,650,600,550,500,450,400,350,300,50,0,1100,1050,1000,950,900,850,800,750,700,650,600,550,500,450,400,350,300,250,200
LU2,200,150,200,250,300,350,950,900,850,800,750,700,650,600,550,500,450,400,350,100,50,0,1100,1050,1000,950,900,850,800,750,700,650,600,550,500,450,400,350,300,250
LU3,250,200,150,200,250,300,1000,950,900,850,800,750,700,650,600,550,500,450,400,150,100,50,0,1100,1050,1000,950,900,850,800,750,700,650,600,550,500,450,400,350,300
LU4,300,250,200,150,200,250,1050,1000,950,900,850,800,750,700,650,600,550,500,450,200,150,100,50,0,1100,1050,1000,950,900,850,800,750,700,650,600,550,500,450,400,350
LU5,350,300,250,200,150,200,1100,1050,1000,950,900,850,800,750,700,650,600,550,500,250,200,150,100,50,0,1100,1050,1000,950,900,850,800,750,700,650,600,550,500,450,400
LU6,400,350,300,250,200,150,1150,1100,1050,1000,950,900,850,800,750,700,650,600,550,300,250,200,150,100,50,0,1100,1050,1000,950,900,850,800,750,700,650,600,550,500,450
LU7,450,400,350,300,250,200,1200,1150,1100,1050,1000,950,900,850,800,750,700,650,600,350,300,250,200,150,100,50,0,1100,1050,1000,950,900,850,800,750,700,650,600,550,500
LU8,500,450,400,350,300,250,1250,1200,1150,1100,1050,1000,950,900,850,800,750,700,650,400,350,300,250,200,150,100,50,0,1100,1050,1000,950,900,850,800,750,700,650,600,550
LU9,550,500,450,400,350,300,1300,1250,1200,1150,1100,1050,1000,950,900,850,800,750,700,450,400,350,300,250,200,150,100,50,0,1100,1050,1000,950,900,850,800,750,700,650,600
LU10,600,550,500,450,400,350,1350,1300,1250,1200,1150,1100,1050,1000,950,900,850,800,750,500,450,400,350,300,250,200,150,100,50,0,1100,1050,1000,950,900,850,800,750,700,650
LU11,650,600,550,500,450,400,1400,1350,1300,1250,1200,1150,1100,1050,1000,950,900,850,800,550,500,450,400,350,300,250,200,150,100,50,0,1100,1050,1000,950,900,850,800,750,700
LU12,700,650,600,550,500,450,1450,1400,1350,1300,1250,1200,1150,1100,1050,1000,950,900,850,600,550,500,450,400,350,300,250,200,150,100,50,0,1100,1050,1000,950,900,850,800,750
LU13,750,700,650,600,550,500,1500,1450,1400,1350,1300,1250,1200,1150,1100,1050,1000,950,900,650,600,550,500,450,400,350,300,250,200,150,100,50,0,1100,1050,1000,950,900,850,800
LU14,800,750,700,650,600,550,1550,1500,1450,1400,1350,1300,1250,1200,1150,1100,1050,1000,950,700,650,600,550,500,450,400,350,300,250,200,150,100,50,0,1100,1050,1000,950,900,850
LU15,850,800,750,700,650,600,1600,1550,1500,1450,1400,1350,1300,1250,1200,1150,1100,1050,1000,750,700,650,600,550,500,450,400,350,300,250,200,150,100,50,0,1100,1050,1000,950,900
LU16,900,850,800,750,700,650,1650,1600,1550,1500,1450,1400,1350,1300,1250,1200,1150,1100,1050,800,750,700,650,600,550,500,450,400,350,300,250,200,150,100,50,0,1100,1050,1000,950
LU17,950,900,850,800,750,700,1700,1650,1600,1550,1500,1450,1400,1350,1300,1250,1200,1150,1100,850,800,750,700,650,600,550,500,450,400,350,300,250,200,150,100,50,0,1100,1050,1000
LU18,1000,950,900,850,800,750,1750,1700,1650,1600,1550,1500,1450,1400,1350,1300,1250,1200,1150,900,850,800,750,700,650,600,550,500,450,400,350,300,250,200,150,100,50,0,1100,1050
LU19,1050,1000,950,900,850,800,1800,1750,1700,1650,1600,1550,1500,1450,1400,1350,1300,1250,1200,950,900,850,800,750,700,650,600,550,500,450,400,350,300,250,200,150,100,50,0,1100
